Car,0,-100.000000,882.000000,21,3
Car,0,-248.100006,380.000000,41,5
Car,0,798.130005,374.000000,22,1
Car,0,800.000000,500.000000,32,2
Car,1,-100.000000,1029.000000,11,3
Car,0,-250.000000,669.000000,41,4
Car,2,-250.000000,681.000000,41,3
Car,1,800.000000,301.000000,12,1
Car,1,800.000000,418.000000,22,2
Car,2,800.000000,327.000000,12,1
Car,1,-100.000000,570.000000,11,4
Car,1,-100.000000,172.000000,11,5
Car,2,800.000000,612.000000,22,2
Car,2,-100.000000,318.000000,21,4
Car,3,800.000000,175.000000,32,1
Car,3,797.984985,403.000000,42,2
Car,2,-100.000000,214.000000,11,5
