83,1775
83,1955
83,207
83,172
83,282
83,429
83,472
83,28
83,28
83,14
83,39
83,15
83,26
83,25
83,26
83,25
83,29
83,13
83,38
87,641
87,224
87,440
83,713
83,172
83,181
83,191
87,709
87,206
87,214
87,225
83,3223
83,218
83,144
83,172
87,783
87,175
87,177
87,171
87,220
87,173
87,253
87,216
87,658
87,227
87,231
87,2819
87,201
87,218
87,504
87,3073
87,339
87,201
87,254
87,178
83,430
83,776
83,180
83,172
83,1303
83,180
83,471
83,48
83,4
83,25
83,26
83,26
83,26
83,25
83,43
83,326
83,743
83,461
83,30
83,32
83,18
83,26
