Car,0,-100.000000,530.000000,21,4
Car,0,-250.000000,588.000000,41,3
Car,0,800.000000,336.000000,42,2
Car,0,-250.000000,309.000000,41,5
Car,1,-250.000000,528.000000,31,3
Car,1,800.000000,312.000000,42,2
Car,2,-250.000000,637.000000,31,3
Car,3,-100.000000,913.000000,11,3
Car,4,-100.000000,504.000000,21,3
Car,5,-250.000000,559.000000,41,3
Car,0,800.000000,240.000000,32,1
Car,1,-250.000000,193.000000,31,5
Car,6,-100.000000,540.000000,21,3
Car,1,800.000000,206.000000,32,1
Car,1,-250.000000,545.000000,41,4
Car,2,800.000000,473.000000,12,2
Car,2,-100.000000,407.000000,21,5
